0	1	2	3	4	5	6	7	8
8.3	0.12048192771084336	259.2807916666667	43.13594444444445	-120.0	-4.925	-0.536	68.34	34.86
7.8	0.12820512820512822	259.49670833333334	-23.766	29.8	-8.426	-9.011	0.97	8.0
7.9	0.12658227848101264	259.7969166666667	-18.515944444444443	229.1	-2.228	-3.214	5.54	10.71
8.5	0.11764705882352941	260.29200000000003	-19.587416666666666	115.7	-2.932	-7.101	4.9	9.72
15.1	0.06622516556291391	260.8955416666667	-17.813027777777776	27.0	-3.814	-3.381	6.72	10.22
9.2	0.10869565217391305	260.994125	-26.353416666666668	-176.9	-4.657	-0.522	359.59	5.43
5.6	0.17857142857142858	261.3712916666667	-48.42216666666667	-137.0	-2.172	-4.398	341.42	-7.17
25.0	0.04	261.78541666666666	-7.093055555555556	-140.2	-0.928	-1.407	16.54	15.15
7.5	0.13333333333333333	261.8879166666666	-30.802333333333333	109.0	-2.237	-6.21	356.32	2.3
3.5	0.2857142857142857	261.9343333333333	-5.079861111111111	-122.2	-0.363	-5.115	18.41	16.04
7.2	0.1388888888888889	262.6625	-31.59552777777778	-50.0	-5.386	-3.361	356.02	1.31
8.2	0.12195121951219513	262.77166666666665	-29.981666666666666	45.8	0.0	0.0	357.44	2.12
7.6	0.13157894736842105	262.97912499999995	-67.04833333333333	-13.1	-5.51	-4.75	325.55	-17.57
8.2	0.12195121951219513	263.3520833333333	-33.389	52.0	0.0	0.0	354.84	-0.16
10.9	0.09174311926605504	263.6166666666667	-39.06916666666667	-3.6	-2.142	-3.107	350.18	-3.42
6.7	0.14925373134328357	263.94916666666666	-30.469722222222224	114.0	2.967	-4.811	357.57	1.0
8.2	0.12195121951219513	264.04375000000005	-38.553333333333335	-184.4	-5.912	-0.548	350.8	-3.42
9.9	0.10101010101010101	264.0717916666667	-44.7355	80.1	-1.331	-2.672	345.56	-6.74
9.3	0.1075268817204301	264.4004166666667	-3.2459166666666666	-66.1	-3.64	-5.035	21.32	14.81
10.6	0.09433962264150944	264.6525	-23.9095	-65.0	-2.849	1.476	3.45	3.98
2.3	0.4347826086956522	265.17537500000003	-53.67433333333334	18.8	3.285	-17.621	338.17	-11.96
5.8	0.1724137931034483	265.9258333333333	-26.2225	181.0	-9.256	-5.33	2.1	1.78
20.6	0.04854368932038835	266.22770833333334	3.170138888888889	-162.0	-1.862	-2.994	28.09	16.23
13.7	0.07299270072992702	266.8679166666667	-33.065555555555555	-362.4	-5.158	-8.323	356.69	-2.47
6.9	0.14492753623188406	267.02000000000004	-24.779166666666665	-93.0	-1.56	-4.724	3.84	1.69
8.5	0.11764705882352941	267.21958333333333	-20.36025	-76.6	-1.07	-3.828	7.73	3.8
11.6	0.08620689655172414	267.5544166666666	-37.05144444444444	16.5	-2.568	-5.322	353.53	-5.01
6.8	0.14705882352941177	267.69325	-31.275388888888887	126.0	-5.634	-7.042	358.57	-2.16
11.6	0.08620689655172414	267.71541666666667	-34.59916666666667	-83.7	0.165	-5.895	355.72	-3.87
7.8	0.12820512820512822	268.6133333333333	-24.14527777777778	57.0	0.0	0.0	5.13	0.76
